input_size,exec_time_insertion,exec_time_merge
7940,6142998300,83996400
7950,8760050800,59004700
7960,7797001400,88008300
7970,6384996700,65000000
7980,6195998400,54000100
7990,6517000700,81998700
8000,6441996600,49998400
8010,5787998100,47000000
8020,5303996900,45002100
8030,5339987300,50998800
8040,5296997600,44999400
8050,5500002900,44997300
8060,6048995600,121000000
8070,6556000600,59996600
8080,6838001300,66001000
8090,6323998400,73000400
8100,5475997700,44999900
8110,5692998200,56000900
8120,5908000400,46996600
8130,6273988900,52002600
8140,6139004000,83992300
8150,9143090800,52999800
8160,6911978700,68999800
8170,7552006000,91994900
8180,5978001200,65002300
8190,5908001000,45995700
8200,5303995500,55997300
8210,5446001400,60999200
8220,5993047400,53999300
8230,5679000900,60999900
8240,5611058900,40940600
8250,6314939100,63999300
8260,7362000500,68009200
8270,6522992900,61000500
8280,8931000900,119003000
8290,7330001600,58999200
8300,7830003900,98011700
8310,9439914500,118993000
8320,6568996300,71998400
8330,6259001700,54998900
8340,9697004900,72000500
8350,7617002800,68024000
8360,6557999700,80004600
8370,6720002000,60000800
8380,6376994400,66999000
8390,6504999600,64991400
8400,7712036400,62968500
8410,7382005600,133996600
8420,7684985800,45000600
8430,6691002000,87999100
8440,8587000200,85000500
8450,7151023500,56998200
8460,6574997300,52000800
8470,6622001100,47999300
8480,6827992300,50003900
8490,7465999300,59998800
8500,6663002800,112996900
8510,7406603600,56997300
8520,7950994800,80003400
8530,8417998500,69002500
8540,7231098400,64003700
8550,6696054700,53979500
8560,6646996900,65001100
8570,6723996900,61005400
8580,7717004500,52994800
8590,6742997400,63006400
8600,6710532500,54038300
8610,6947005200,76997900
8620,6778002800,52993700
8630,6670999700,59999400
8640,7043996700,67000900
8650,6786014300,76005000
8660,6696998700,60005100
8670,7457960000,52001400
8680,7213120500,55006200
8690,7077996900,89999400
8700,6784998200,61004400
8710,7014442300,59995800
8720,6958996800,69002900
8730,6706993600,58002200
8740,7027036600,52961800
8750,6933005300,58994900
8760,7216999700,76000200
8770,8210047800,67996700
8780,7242998500,65997900
8790,6971999700,71044700
8800,6953978100,77005500
8810,7182994100,53002900
8820,7016003500,68994400
8830,7054034600,70004900
8840,6874035300,56959100
8850,7131997500,55004100
8860,8049001900,64994800
8870,7221049300,58947600
8880,7144997200,55000000
8890,7233013900,59998500
8900,7103092200,61997300
8910,7070000300,91005000
8920,6954069600,55996000
8930,7188995900,57038900
8940,7480962700,69996900
8950,7843107900,79002200
8960,7503997600,81999000
8970,7155044200,63956500
8980,8647994200,68997100
8990,7336944600,58015200
9000,7200961200,58998900
9010,8952030200,74999700
9020,7920996700,74001100
9030,8289999500,59999400
9040,7611996700,63001200
9050,7349947800,59004100
9060,7448031900,55031200
9070,7283980200,69996200
9080,7594994900,69005600
9090,7161984900,62977500
9100,7777051900,73999000
9110,7961004100,80997000
9120,8440994300,53999900
9130,7281971900,77000900
9140,7326001200,56999600
9150,8238994600,60001700
9160,8618520300,89994000
9170,8169997500,77004600
9180,7792996600,73001600
9190,10953677400,112001300
9200,7463994600,62002300
9210,7535996200,98004200
9220,12492996000,88000800
9230,9020995400,78994400
9240,12200008900,116993000
9250,10020995900,57000100
9260,9272001400,82997900
9270,7727997900,63996000
9280,8426993800,65000400
9290,7331031100,61009500
9300,11867001700,111998100
9310,10662996600,52999000
9320,8109998900,92999700
9330,8639001400,106000600
9340,7843000000,54997700
9350,7333962100,62037500
9360,7917000700,56999300
9370,7647002800,58000900
9380,7957004200,56996300
9390,7850001100,95999900
9400,7641998800,54997600
9410,8162987000,80002900
9420,8111950200,59039900
9430,7870039300,50962600
9440,7851000600,89001700
9450,7972001400,56997200
9460,8134032800,73963600
9470,7770004200,81996400
9480,7766996900,53001400
9490,7833002100,92999700
9500,9005053100,65995100
9510,8807002100,59995800
9520,6794001600,82996700
9530,7398997800,62000500
9540,8408995200,53986800
9550,8118959300,61003300
9560,7886996400,56001600
9570,8852516400,68003300
9580,8460995600,72000400
9590,8185040700,61959800
9600,8893037100,58959400
9610,8239525900,92995000
9620,8920998700,65002500
9630,8356998700,53999700
9640,8944996600,64003900
9650,10019527800,63007300
9660,8399998900,75995200
9670,7921995800,62996900
9680,7945997900,66998000
9690,8397963200,78000200
9700,8306995600,89002200
9710,7543001200,67997900
9720,7878002100,84999300
9730,8825000500,102002200
9740,9980001100,88999200
9750,7888004600,97999100
9760,7659002000,58052200
9770,7904998800,76002600
9780,8393036000,50960100
9790,8842964700,85001700
9800,13303857100,110007300
9810,8669992900,57038900
9820,8376003200,67995900
9830,8103002900,74000300
9840,8858004500,68997800
9850,8012996700,64036100
9860,7922110500,68000000
9870,8200999200,81001100
9880,11906056900,87007400
9890,9434992200,52002900
9900,7813001900,111002300
9910,7985000600,54036200
9920,10555999800,53996600
9930,9042957700,85000900
9940,9114987000,77004500
9950,9307998900,58997100
9960,8573001000,73002100
9970,8267001900,66996500
9980,9725997100,57040500
9990,9176012600,87987700
