input_array,exec_best,exec_worst,exec_avg
36760,3.5762786865234375e-06,1.0013580322265625e-05,6.4373016357421875e-06
37010,5.7220458984375e-06,1.1682510375976562e-05,8.821487426757812e-06
37260,4.5299530029296875e-06,1.0967254638671875e-05,7.62939453125e-06
37510,4.5299530029296875e-06,1.6927719116210938e-05,8.821487426757812e-06
37760,4.0531158447265625e-06,1.1205673217773438e-05,7.62939453125e-06
38010,5.4836273193359375e-06,1.1682510375976562e-05,7.867813110351562e-06
38260,4.291534423828125e-06,1.1205673217773438e-05,7.62939453125e-06
38510,4.291534423828125e-06,1.1444091796875e-05,7.62939453125e-06
38760,3.814697265625e-06,1.0967254638671875e-05,5.9604644775390625e-06
39010,5.245208740234375e-06,1.2159347534179688e-05,8.344650268554688e-06
39260,3.337860107421875e-06,1.0728836059570312e-05,7.152557373046875e-06
39510,3.5762786865234375e-06,1.0013580322265625e-05,3.337860107421875e-06
39760,2.86102294921875e-06,1.0251998901367188e-05,8.106231689453125e-06
40010,5.245208740234375e-06,1.2636184692382812e-05,7.867813110351562e-06
40260,4.0531158447265625e-06,1.049041748046875e-05,7.62939453125e-06
40510,2.6226043701171875e-06,1.0967254638671875e-05,6.9141387939453125e-06
40760,2.6226043701171875e-06,1.0967254638671875e-05,7.3909759521484375e-06
41010,2.384185791015625e-06,1.0967254638671875e-05,7.152557373046875e-06
41260,2.86102294921875e-06,1.0967254638671875e-05,7.62939453125e-06
41510,3.5762786865234375e-06,1.1205673217773438e-05,7.867813110351562e-06
41760,3.5762786865234375e-06,1.0967254638671875e-05,7.867813110351562e-06
42010,4.0531158447265625e-06,1.1920928955078125e-05,6.4373016357421875e-06
42260,3.0994415283203125e-06,1.1205673217773438e-05,7.867813110351562e-06
42510,3.5762786865234375e-06,1.0967254638671875e-05,6.67572021484375e-06
42760,2.86102294921875e-06,1.0728836059570312e-05,7.152557373046875e-06
43010,3.337860107421875e-06,1.0251998901367188e-05,7.867813110351562e-06
43260,3.0994415283203125e-06,1.0967254638671875e-05,7.867813110351562e-06
43510,3.0994415283203125e-06,1.0728836059570312e-05,7.152557373046875e-06
43760,2.86102294921875e-06,1.0013580322265625e-05,6.4373016357421875e-06
44010,2.6226043701171875e-06,1.0728836059570312e-05,7.62939453125e-06
44260,3.0994415283203125e-06,1.0967254638671875e-05,5.0067901611328125e-06
44510,3.0994415283203125e-06,1.0728836059570312e-05,7.62939453125e-06
44760,3.814697265625e-06,1.1205673217773438e-05,7.62939453125e-06
45010,3.5762786865234375e-06,1.0013580322265625e-05,7.152557373046875e-06
45260,3.0994415283203125e-06,1.0728836059570312e-05,5.9604644775390625e-06
45510,3.5762786865234375e-06,1.1444091796875e-05,7.62939453125e-06
45760,3.5762786865234375e-06,1.1205673217773438e-05,7.152557373046875e-06
46010,3.5762786865234375e-06,1.0967254638671875e-05,8.344650268554688e-06
46260,3.814697265625e-06,1.1205673217773438e-05,6.198883056640625e-06
46510,3.5762786865234375e-06,1.1205673217773438e-05,6.9141387939453125e-06
46760,3.814697265625e-06,1.0967254638671875e-05,7.152557373046875e-06
47010,2.86102294921875e-06,1.1444091796875e-05,7.62939453125e-06
47260,4.291534423828125e-06,1.1444091796875e-05,7.152557373046875e-06
47510,3.337860107421875e-06,1.1682510375976562e-05,7.3909759521484375e-06
47760,2.6226043701171875e-06,1.1205673217773438e-05,7.867813110351562e-06
48010,3.814697265625e-06,1.0967254638671875e-05,7.3909759521484375e-06
48260,3.337860107421875e-06,1.1682510375976562e-05,7.62939453125e-06
48510,4.0531158447265625e-06,1.1444091796875e-05,7.867813110351562e-06
48760,3.0994415283203125e-06,1.049041748046875e-05,5.245208740234375e-06
49010,3.814697265625e-06,1.1444091796875e-05,7.152557373046875e-06
49260,3.0994415283203125e-06,1.0013580322265625e-05,7.62939453125e-06
49510,3.814697265625e-06,1.0251998901367188e-05,8.58306884765625e-06
49760,3.337860107421875e-06,1.1205673217773438e-05,6.67572021484375e-06
50010,3.5762786865234375e-06,1.1205673217773438e-05,7.867813110351562e-06
50260,3.5762786865234375e-06,1.0251998901367188e-05,7.867813110351562e-06
50510,3.0994415283203125e-06,1.049041748046875e-05,7.62939453125e-06
50760,4.291534423828125e-06,1.1920928955078125e-05,7.62939453125e-06
51010,3.5762786865234375e-06,1.1205673217773438e-05,7.152557373046875e-06
51260,4.291534423828125e-06,1.049041748046875e-05,7.867813110351562e-06
51510,4.76837158203125e-06,1.0728836059570312e-05,8.106231689453125e-06
51760,4.291534423828125e-06,1.1920928955078125e-05,8.344650268554688e-06
